project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
,,Probing the effect of a modified graphene oxide surfactant on synthesis and material properties of fluoro acrylate emulsion as super-hydrophobic coatings,Probing the effect of a modified graphene oxide surfactant on synthesis and material properties of fluoro acrylate emulsion as super-hydrophobic coatings,,,,,"Dr. K. I. Suresh
Prof. dr. Eckhard Bartsch",,"CSIR-indian instituet of chemical technology
Institute fur Makromolekulare chemie",,,,,,,,,,,,,,,
,,Structure and function of a novel family of AMPA receptor auxiliary subunits,Structure and function of a novel family of AMPA receptor auxiliary subunits,,,,,"Janesh Kumar
Jakob von Engelhardt",,"National centre for cell science, s.p. pune university campus
university medical center, johannes gutenberg university mainz",,,,,,,,,,,,,,,
,,Descriptive complexity of parameterized counting problems,Descriptive complexity of parameterized counting problems,,,,,"Raghavendra Rao B. V. 
Arne Meier",,"Department of computer Sicence & Engineering, IIT Madras
Institute of Theoretical computer science Leibniz universitat hannover",,,,,,,,,,,,,,,
,,Engineering Superhemophobic nanostructured surfaces on superelastic Ni-free Ti based alloys for stent applications,Engineering Superhemophobic nanostructured surfaces on superelastic Ni-free Ti based alloys for stent applications,,,,,"Dr. Geetha Manivasagam
Dr. Mariana calin",,"VIT university
Institute for complex materials ",,,,,,,,,,,,,,,
,,Design automation for state-of-the-art microfluidic lab-on-a- chips (DALoC),Design automation for state-of-the-art microfluidic lab-on-a- chips (DALoC),,,,,"Dr. Sudip Roy
Dr.-Ing. Bing LI",,"Department of computer science and engineering indian institute of technology rookee
Dept. of electrical and computer engineering, technical university of munich",,,,,,,,,,,,,,,
,,Flavour physics and dark matter: reconnecting the dost,Flavour physics and dark matter: reconnecting the dost,,,,,"Subhendu Rakshit
Heinrich Pas",,"Discipline of Physics, IIT Indore
Department of physics",,,,,,,,,,,,,,,
,,Development of new dephosphorisation model for primary steel making,Development of new dephosphorisation model for primary steel making,,,,,"Dr. Ajay Kumar Shukla
Drof. Dr. Olena Volkova",,"indian institute of technologhy IIT
Institute of Iron and steel technology technica luniversity bergakademie freiberg",,,,,,,,,,,,,,,
,,"Low-temperature epitaxial growth of high mobility ""Ge1-Snx"" Channel material for","Low-temperature epitaxial growth of high mobility ""Ge1-Snx"" Channel material for",,,,,"Dr. Satinder Kumar Sharma
Prof. Habil. Jorg schulze",,"indian indtitute of Technology (IIT)
Institute of semiconductor Electronics (IHT) Univerity of stuttgart",,,,,,,,,,,,,,,
,,Towards a theory of convergence to near optimality in swarm intelligence systems,Towards a theory of convergence to near optimality in swarm intelligence systems,,,,,"John Ebenezer Augustine
Alexander Skopalik",,"Department of Computer Science & Engineering, IIT 
Heinz Nixdorf Institut Universitat Paderborn",,,,,,,,,,,,,,,
,,Biotechnological Approaches for Prevention and Control of Fish Disease in Aquaculture (BIOAQUA),Biotechnological Approaches for Prevention and Control of Fish Disease in Aquaculture (BIOAQUA),,,,,"Dr. Biswajit Maiti
Prof. Oystein Evensen",,"Centre for Science Education & Research (NUCSER), Nitte University
Norwegian University of Life Science",,,,,,,,,,,,,,,
,,C.R. Edit- CRISPR/Cas9 edition to test and control genes implicated in influencing Aeromonas disease resistance in carp and salmon,C.R. Edit- CRISPR/Cas9 edition to test and control genes implicated in influencing Aeromonas disease resistance in carp and salmon,,,,,"Dr. P. K. Sahoo
Dr. N. A. Robinson",,"ICAR-Central Institute of Freshwater Aquaculture
Breeding and Genetics, Nofima",,,,,,,,,,,,,,,
,,Greenhouse gas emissions from biogas digestate application to rice production systems,Greenhouse gas emissions from biogas digestate application to rice production systems,,,,,"Dr. Tapan Kumar Adhya
Dr. Bente Foereid",,"School of Biotechnology KIIT University Bhubaneswar
The Norwegian Institute of Bio economy Research",,,,,,,,,,,,,,,
,,Production of JP-8 Range Fuels and Chemicals from Pyrolysis bio-oil Using Nanostructured Catalyst,Production of JP-8 Range Fuels and Chemicals from Pyrolysis bio-oil Using Nanostructured Catalyst,,,,,"Dr. A. Pandurangan
Dr. Roman Tschentscher",," Department of Chemistry, Anna University
SINTEF",,,,,,,,,,,,,,,
,,Large Area Opto-Electronics for Australia and India: From Materials to Advanced Devices,Large Area Opto-Electronics for Australia and India: From Materials to Advanced Devices,,,,,"Dr A. Ajayaghosh
Dr Ebinazar B. Namdas",,"National Institute for Interdisciplinary Science and Technology
School of Mathematics and Physics, University of Queensland",,,,,,,,,,,,,,,
,,Enhancing Dairy Milk Shelf Life with PCM Thermal Energy Storage and Renewable Energy,Enhancing Dairy Milk Shelf Life with PCM Thermal Energy Storage and Renewable Energy,,,,,"Dr. Sunil Patel
Frank Bruno",,"Dairy Engineering Department, SMC College of Dairy Science, Anand Agricultural University
Dept of School of Engineering, Barbara Hardy Institute, University of South Australia",,,,,,,,,,,,,,,
,,Advanced manufacturing of new high entropy alloys,Advanced manufacturing of new high entropy alloys,,,,,"Prof. B.S. Murty
Prof. Matthew Barnett",,"Indian Institute of Technology 
Deakin University",,,,,,,,,,,,,,,
DST/INT/Pol/P- 19/2016,,Observational signature of super massive black Holes: TeV blazars in multi - wavelength view.,Observational signature of super massive black Holes: TeV blazars in multi - wavelength view.,,,,,"Dr Alok Gupta
Michal Ostrowski",,"ARIES, Nainital
Warsaw University",,,,,,,,,,,,,,,
DST/INT/Pol/P- 20/2016,,Investigation on the Structure- Property relations in Novel Europium based Intermetallic compounds,Investigation on the Structure- Property relations in Novel Europium based Intermetallic compounds,,,,,"Dr Sebastian C. Peter
Dariusz Kaczorowski",,"JNCASR, Bangalore
Institute of Low Temperatures, Wroclay",,,,,,,,,,,,,,,
DST/INT/Pol/P- 21/2016,,"Design, synthesis and biological evaluations of B- serretare inhibitiors as anti - Alzheimer's agents.","Design, synthesis and biological evaluations of B- serretare inhibitiors as anti - Alzheimer's agents.",,,,,"Dr. Ruchi Malik
Prof. Slawomir Fillper",,"Central University of Rajasthan, Ajmer
Polish Academy of Sciences",,,,,,,,,,,,,,,
DST/INT/Pol/P- 22/2016,,Pharmacological mimicking of cold via cold thermo- receptors (Transient Receptor Potential Ankyrin (A) 1 and Metastatin (M) 8) and energy regulation: novel implications in obesity and type-2 diabetes,Pharmacological mimicking of cold via cold thermo- receptors (Transient Receptor Potential Ankyrin (A) 1 and Metastatin (M) 8) and energy regulation: novel implications in obesity and type-2 diabetes,,,,,"Dr. Mahendra Bishnoi
Adam Gesing",,"NABI, Mohali
University of Lodz",,,,,,,,,,,,,,,
DST/INT/Pol/P- 23/2016,,Dynamics of Liquid electrolytes and ionogels by means of NMR relaxometry,Dynamics of Liquid electrolytes and ionogels by means of NMR relaxometry,,,,,"Dr RK Singh. D/o Physics
Dr Danuta Kruk",,"BHU, Varanasi
Uniwersytet Warmińsko",,,,,,,,,,,,,,,
DST/INT/Pol/P- 24/2016,,Development of sensors for compounds important for clinical analysis and food safety,Development of sensors for compounds important for clinical analysis and food safety,,,,,"Dr. K. Girish Kumar
Dr. Jerzy Radecki",,"CUSAT, Cochin
Institute of Animal Reproduction & Food",,,,,,,,,,,,,,,
DST/INT/Pol/P- 25/2016,,Dissecting the association of miRNAs with mitochondria state and its involvement in mitochondria-mediated inflammation in brain ischemia,Dissecting the association of miRNAs with mitochondria state and its involvement in mitochondria-mediated inflammation in brain ischemia,,,,,"Dr Rajesh Singh
Dr Bozena Kaminska",,"MS University Vadodara
Institute of Experimental Biology",,,,,,,,,,,,,,,
DST/INT/Pol/P- 26/2016,,New Semiconductors Based Solution-Processed Small Molecule for Optoelectronic Devices,New Semiconductors Based Solution-Processed Small Molecule for Optoelectronic Devices,,,,,"Dr SP Singh
Prof Jacek Pawel Ulanski",,"Hyderabad
University of Lodz",,,,,,,,,,,,,,,
DST/INT/Pol/P- 27/2016,,Development of novel thiazolidinediones (TZDs) with anti - leukemic potential.,Development of novel thiazolidinediones (TZDs) with anti - leukemic potential.,,,,,"Dr. C.S. Ramaa
Dr Piotr Mrówka",," Navi Mumbai
Medical University of Warsaw",,,,,,,,,,,,,,,
DST/INT/Pol/P- 28/2016,,Elucidation of Synergistic Solvation in Alcohol- Chlorinated methane Binary Solvent Mixture by Optical Kerr Effect Spectroscopy,Elucidation of Synergistic Solvation in Alcohol- Chlorinated methane Binary Solvent Mixture by Optical Kerr Effect Spectroscopy,,,,,"Dr Prateek Sen
Dr Wojciech",,"IIT Kanpur
University of Warsaw",,,,,,,,,,,,,,,
DST/INT/Pol/P- 29/2016,,Design and development of a new innovative parallel microchannel heat sink with mitigated flow maldistribution,Design and development of a new innovative parallel microchannel heat sink with mitigated flow maldistribution,,,,,"Dr Ritunesh Kumar
Prof. Dariusz Przemysław Mikielewicz",,"IIT Indore
University of Gdansk",,,,,,,,,,,,,,,
DST/INT/Pol/P- 30/2016,,Evaluation of Anti-Glycation and Antioxidant Properties of Natural Polyphenolic Compounds in Experimental Models of Diabetic Complications.,Evaluation of Anti-Glycation and Antioxidant Properties of Natural Polyphenolic Compounds in Experimental Models of Diabetic Complications.,,,,,"Dr Ashutosh Kumar
Dr Maria Zamarajewa",,"NIPER, Hyderabad
University of Bialystok",,,,,,,,,,,,,,,
DST/INT/Pol/P- 31/2016,,Development of efficient and cost effective catalysts for C-H bond activation through simultaneous production of CO free hydrogen and carbon nanotubes from renewable H4 : A value addition process.,Development of efficient and cost effective catalysts for C-H bond activation through simultaneous production of CO free hydrogen and carbon nanotubes from renewable H4 : A value addition process.,,,,,"Dr A Venugopal
B. Michalkiewicz ",,"IICT Hyderabad
Polish Academy of Sciences",,,,,,,,,,,,,,,
DST/INT/Pol/P- 32/2016,,Strategies for the Heterocycle Synthesis: Art of Contriving Molecules via C–H Bond Activation,Strategies for the Heterocycle Synthesis: Art of Contriving Molecules via C–H Bond Activation,,,,,"Dr Debabrata Maity
Dr. Jacek Skarzewski",,"IIT Bombay
Wrocław University of Technology",,,,,,,,,,,,,,,
DST/INT/Pol/P- 33/2016,,Development of materials for the large enhancement in the thermoelectric properties using efficient computational approach,Development of materials for the large enhancement in the thermoelectric properties using efficient computational approach,,,,,"Dr PK Jha
Dr. Piotr Spiewak",,"MS University Vadodara
Warsaw University of Technology",,,,,,,,,,,,,,,
DST/INT/Pol/P- 34/2016,,An Efficient Software Defined Network (SDN) - based Framework for Big Data Processing in Cloud Data Center,An Efficient Software Defined Network (SDN) - based Framework for Big Data Processing in Cloud Data Center,,,,,"Dr Neeraj Kumar
Prof. Krzysztof Szczypiorski",,"Thapar University Patiala
Warsaw University of Technology",,,,,,,,,,,,,,,
DST/INT/Pol/P- 35/2016,,Novel potential antifungal drugs active against multidrug- resistant yeasts from the Candida genus,Novel potential antifungal drugs active against multidrug- resistant yeasts from the Candida genus,,,,,"Dr Rajendra Prasad
Dr Sławomir Milewski",,"Amity University Gurgaon
Gdańsk",,,,,,,,,,,,,,,
DST/INT/Pol/P- 36/2016,,Genetic biomarkers for breast cancer subtypes: the role of membrane receptors in modelling of heterogeneous populations of tumor cells,Genetic biomarkers for breast cancer subtypes: the role of membrane receptors in modelling of heterogeneous populations of tumor cells,,,,,"Dr Indrajit Saha
Dr. Dariusz Plewczynski",,"NITTTR, Kolkata
University of Warsaw",,,,,,,,,,,,,,,
,,Development of ultrafast photo- functional materials by nano- scale and femtosecond structural dynamics,Development of ultrafast photo- functional materials by nano- scale and femtosecond structural dynamics,,,,,"Pratik Sen
Shin-YaKoshihara",,"Indian Institute of Technology
Tokyo Institute of Technology",,,,,,,,,,,,,,,
,,Temporal Control over Supramolecular Polymerizatio,Temporal Control over Supramolecular Polymerizatio,,,,,"Subi Jacob George
Masayuki Takeuch",,"Jawaharlal Nehru Centre for Advanced Scientific Research
National Institute for Materials Science",,,,,,,,,,,,,,,
,,Fabrication and characterization of magnetic impurity doped CuGaS2 thin films for high efficiency intermediate band solar cell application,Fabrication and characterization of magnetic impurity doped CuGaS2 thin films for high efficiency intermediate band solar cell application,,,,,"KalainathanSivaperuman
Nazmul Ahsan",,"VIT University
The University of Tokyo",,,,,,,,,,,,,,,
,,Dynamics of Nonlinear Optical Micro cavities for On-Chip Quantum Photonic Applications,Dynamics of Nonlinear Optical Micro cavities for On-Chip Quantum Photonic Applications,,,,,"Shailendra Kumar Varshney
Kazuaki Sakoda",,"Indian Institute of Technology
National Institute for Materials Science",,,,,,,,,,,,,,,
,,Fabrication of carbonate apatite coated titanium implant,Fabrication of carbonate apatite coated titanium implant,,,,,"Than Ganapathy Pandian Sakthina
Kunio Ishikawa",,"Anna University
Kyushu University",,,,,,,,,,,,,,,
,," 
Development of Micro-Nano Zinc Oxide Based Functional Devices"," 
Development of Micro-Nano Zinc Oxide Based Functional Devices",,,,,"NileshJayantilal Vasa
Daisuke Nakamura",,"Indian Institute of Technology
Kyushu University",,,,,,,,,,,,,,,
,,Dynamic behavior and low velocity transverse impact response of fluid-conveying functionally graded shells under mechanical and thermal loads,Dynamic behavior and low velocity transverse impact response of fluid-conveying functionally graded shells under mechanical and thermal loads,,,,,"Amit Karmakar
Kazuaki Inaba",,"Jadavpur University
Tokyo Institute of Technology",,,,,,,,,,,,,,,
,,"Production and measurement of THz radiation at LUCX and DLS for promoting researches in Materials Science, Nanotechnologies, Molecular Physics","Production and measurement of THz radiation at LUCX and DLS for promoting researches in Materials Science, Nanotechnologies, Molecular Physics",,,,,"Subhendu Ghosh
Masakazu Washio",,"Inter University Accelerator Centre
Waseda University",,,,,,,,,,,,,,,
